gamma,mu
0.6565596422075022,0.020305343065264016
0.6565596499998486,0.020597401626126843
0.6565630944434209,0.020305344672381376
0.6565631019356378,0.02059740915695164
0.6565665467291653,0.02030534627954249
0.6565665539212006,0.02059741668785819
0.656569999064672,0.02030534788675202
0.6565700059565709,0.020597424218825194
0.6565734514499884,0.020305349494007065
0.6565734580416338,0.020597431749869662
0.6565769038850177,0.020305351101302962
0.6565769101765261,0.020597439280991864
0.6565803563698583,0.02030535270865192
0.656580362361134,0.0205974468121839
0.6565838089045012,0.020305354316042506
0.6565838145955664,0.020597454343451865
0.656587261488822,0.020305355923479748
0.6565872668797378,0.02059746187479448
0.6565907141230116,0.020305357530964515
0.656590719213676,0.02059746940620826
0.6576295794667749,0.020122244934250817
0.6576295827641601,0.020248891179309548
0.6576302494020801,0.02012221083621483
0.6576302529072511,0.02024885558233963
0.657630919569882,0.020122176738296534
0.6576309232830322,0.020248819985456096
0.6576315899704779,0.020122142640498827
0.6576315938914595,0.02024878438866316
0.6576322606037261,0.020122108542823078
0.657632264732679,0.020248748791964345
0.6576329314696918,0.020122074445266824
0.6576329358065035,0.02024871319534775
0.6576336025683257,0.02012204034782327
0.6576336071129558,0.020248677598823837
0.6576342738996482,0.020122006250506645
0.6576342786522091,0.02024864200238332
0.6576349454636662,0.020121972153305922
0.657634950424106,0.02024860640603414
0.6576356172604336,0.02012193805622424
0.6576356224287286,0.02024857080977544
0.7469170167654009,0.014082601298326312
0.746917019608735,0.014037372967911507
0.7469207308428166,0.014082600474841653
0.7469207336060927,0.014037371826003568
0.7469244449526131,0.014082599651367557
0.7469244476358539,0.014037370684081632
0.7469281590947234,0.014082598827902092
0.7469281616979092,0.014037369542175444
0.7469318732691994,0.01408259800442264
0.7469318757922997,0.014037368400263199
0.7469355874760166,0.014082597180939698
0.7469355899190714,0.014037367258354385
0.746939301715221,0.01408259635749368
0.7469393040781561,0.014037366116428265
0.7469430159867225,0.014082595533991757
0.7469430182696016,0.014037364974478383
0.7469467302905869,0.01408259471054803
0.746946732493348,0.014037363832563748
0.7469504446267939,0.014082593887080858
0.7469504467494561,0.01403736269060464
0.7704882270143212,0.01481119715821312
0.7704882970269171,0.014822511106589638
0.7704931288453489,0.014811186870401819
0.7704931952153973,0.014822501046105097
0.7704980307640865,0.014811176582467011
0.7704980934916962,0.014822490985442093
0.7705029327705419,0.014811166294345039
0.7705029918558469,0.014822480924617255
0.7705078348646733,0.014811156006069581
0.7705078903077517,0.014822470863633712
0.7705127370465098,0.014811145717630534
0.7705127888474851,0.014822460802466629
0.770517639315993,0.014811135429032007
0.770517687474981,0.014822450741129837
0.7705225416732142,0.01481112514026834
0.770522586190305,0.014822440679641837
0.7705274441181351,0.014811114851353894
0.7705274849934044,0.014822430617996629
0.7705323466507644,0.014811104562301796
0.7705323838842547,0.014822420556170226
0.8008824691286647,0.015065245227488004
0.8008824940538579,0.015089223750973269
0.8008904208809674,0.015065261739843464
0.8008904441813315,0.015089240146498525
0.8008983727191096,0.015065278252352361
0.8008983943944905,0.015089256542198096
0.8009063246429835,0.01506529476504204
0.8009063446933306,0.01508927293802468
0.8009142766526618,0.015065311277881677
0.800914295077931,0.01508928933405453
0.8009222287480533,0.015065327790904203
0.800922245548243,0.01508930573023108
0.8009301809292996,0.0150653443040871
0.8009301961043264,0.015089322126555399
0.8009381331961895,0.015065360817412696
0.8009381467460962,0.015089338523074569
0.8009460855489836,0.01506537733092138
0.8009460974735613,0.015089354919740621
0.8009540379873937,0.015065393844615433
0.8009540482867266,0.015089371316569478
0.80592282819737,0.013893138353752096
0.8059228368033227,0.013968630669610946
0.8059263435313057,0.013893148195963441
0.8059263518157308,0.013968639937579928
0.8059298588895784,0.01389315803816024
0.8059298668525422,0.013968649205508133
0.8059333742721965,0.013893167880313808
0.8059333819136546,0.013968658473375094
0.8059368896791367,0.013893177722430188
0.8059368969990978,0.013968667741234335
0.8059404051104354,0.013893187564549807
0.8059404121088752,0.013968677009033153
0.8059439205660333,0.0138931974065792
0.8059439272430077,0.013968686276845256
0.8059474360459882,0.013893207248625056
0.8059474424014923,0.013968695544621337
0.8059509515502812,0.01389321709063
0.8059509575842966,0.013968704812325847
0.8059544670789451,0.013893226932593443
0.8059544727914644,0.013968714080028567
0.8880632343806037,0.014744645175362486
0.8880632382543909,0.014726551998123312
0.8880660736533035,0.014744643332798379
0.8880660775079751,0.014726550232225704
0.8880689129904105,0.014744641490207206
0.8880689168259159,0.014726548466302468
0.8880717523918484,0.014744639647631109
0.888071756208113,0.014726546700350656
0.8880745918576246,0.014744637805045683
0.8880745956546826,0.01472654493442232
0.8880774313876779,0.014744635962457514
0.8880774351655556,0.014726543168494538
0.8880802709821263,0.014744634119865456
0.8880802747407571,0.01472654140252425
0.8880831106408807,0.014744632277247637
0.8880831143803126,0.01472653963657619
0.8880859503639921,0.014744630434609714
0.88808595408411,0.014726537870636245
0.8880887901514048,0.014744628592013007
0.8880887938523289,0.014726536104661502
0.9812954750751842,0.01538404202819232
0.9812955508063896,0.015410357158884235
0.9813044057958966,0.015384062370089251
0.9813044775443148,0.01541037751220908
0.9813133365332902,0.015384082711824537
0.9813134042989247,0.015410397865382109
0.9813222672874586,0.015384103053425366
0.9813223310701923,0.015410418218381185
0.9813311980582881,0.015384123394868833
0.9813312578581009,0.015410438571230292
0.9813401288458915,0.015384143736163078
0.9813401846626449,0.015410458923920645
0.981349059650282,0.015384164077303596
0.9813491114839473,0.015410479276452269
0.9813579904713224,0.015384184418304572
0.9813580383218661,0.015410499628805339
0.9813669213091162,0.015384204759139543
0.9813669651763937,0.015410519980990918
0.9813758521637106,0.01538422509983063
0.9813758920476756,0.015410540333035998
1.0971815085192933,0.014754118365497112
1.0971815220832277,0.01474728271886017
1.0971833159434545,0.014754115274130739
1.097183328937662,0.014747280007301255
1.0971851234213605,0.014754112182676374
1.0971851358458862,0.014747277295669013
1.097186930953068,0.014754109091174873
